date,day_of_week,location,giai_tam,giai_bay,giai_sau_1,giai_sau_2,giai_sau_3,giai_nam,giai_tu_1,giai_tu_2,giai_tu_3,giai_tu_4,giai_tu_5,giai_tu_6,giai_tu_7,giai_ba_1,giai_ba_2,giai_nhi,giai_nhat,giai_dac_biet
2012-03-09,Thu sau,Gia Lai,58,150,4372,0614,2561,3883,20054,15005,86120,40569,12572,43316,12629,95985,70939,09359,66778,85632
2012-03-10,Thu bay,Đà Nẵng,41,899,5427,7839,1377,5743,99523,33828,31729,42380,41854,80252,69331,93000,98829,85480,03629,37207
2012-03-10,Thu bay,Quảng Ngãi,34,389,7411,7091,8147,7426,68446,04920,35446,48538,60803,93042,75896,26527,29343,75803,64056,92199
2012-03-10,Thu bay,Đắk Nông,93,807,1986,1248,2298,5297,87864,76902,04832,22569,12215,62918,62908,29974,40358,40457,54829,45334
2012-03-11,Chu nhat,Khánh Hòa,68,047,2746,1441,2537,5377,05289,08172,14218,45506,67009,66693,85722,33422,87179,43679,03053,95458
2012-03-11,Chu nhat,Kon Tum,78,455,9167,1859,1333,3701,17450,31263,08327,76086,85243,49216,19899,18857,59665,51859,56769,79018
2012-03-12,Thu hai,Phú Yên,44,138,8736,4653,5108,3485,01062,13499,10895,49388,64347,65613,43374,61491,68719,49938,13968,55539
2012-03-12,Thu hai,Thừa T. Huế,21,012,2295,0799,5918,2333,59233,83099,09217,03978,98487,79548,92940,19581,07030,38915,38634,51125
2012-03-13,Thu ba,Quảng Nam,65,306,3601,9809,8244,3035,22975,54712,57666,33444,58824,78850,07077,09466,79466,50013,78259,84225
2012-03-13,Thu ba,Đắk Lắk,16,592,2527,8534,6866,0680,85231,18216,71587,47435,61002,05947,24797,42898,98706,85168,18022,94367
2012-03-14,Thu tu,Khánh Hòa,92,657,1471,4260,0010,8414,00054,38667,27529,43596,85245,05682,25206,30906,38875,60412,34609,04334
2012-03-14,Thu tu,Đà Nẵng,93,414,1675,9212,7616,0179,81453,90394,81125,15484,86054,47898,53283,29226,73471,69218,84250,60050
2012-03-15,Thu nam,Quảng Bình,39,192,3760,7619,6423,2397,49229,97315,60806,64454,38378,81474,42815,82115,45521,11583,19848,51917
2012-03-15,Thu nam,Quảng Trị,70,783,9782,1188,9736,9770,17264,17013,81845,97314,85834,55128,74121,72017,47099,22077,05442,06250
2012-03-15,Thu nam,Bình Định,87,016,2184,3934,6566,2383,74102,00496,68231,34687,26445,61279,77885,68754,59185,37858,38211,66932
2012-03-16,Thu sau,Gia Lai,36,769,7017,8144,8231,5364,18332,77724,59342,81038,53662,09477,11492,37221,38940,59031,98381,10673
2012-03-16,Thu sau,Ninh Thuận,73,741,0889,1836,3701,0358,67939,87319,08714,30745,06662,91694,45454,85413,98773,99734,91762,55065
2012-03-17,Thu bay,Quảng Ngãi,95,026,3068,2035,0325,0195,81904,65137,54184,42313,52865,50873,05926,38226,39242,03176,73118,82317
2012-03-17,Thu bay,Đà Nẵng,50,366,1400,4874,9080,7788,99473,46350,33509,16420,71042,98785,18436,89056,84061,15587,02853,62290
2012-03-17,Thu bay,Đắk Nông,73,919,0520,4503,7266,2223,49662,69142,35871,55136,61781,03947,36500,40723,54495,04241,34009,93335
2012-03-18,Chu nhat,Kon Tum,06,056,8450,7215,9001,8579,00645,83487,15533,78737,70260,91609,10603,35334,73070,23614,38781,34332
2012-03-18,Chu nhat,Khánh Hòa,63,691,6560,1887,0889,1478,96847,12109,07655,35047,11747,19808,74417,69509,36219,83563,75762,13210
2012-03-19,Thu hai,Thừa T. Huế,24,295,6446,5893,1732,0105,25467,55837,17195,14172,09523,31265,52531,74591,02606,18843,82232,23214
2012-03-19,Thu hai,Phú Yên,81,737,0043,8947,1302,1424,21457,42249,59067,12108,57860,14370,10897,70436,30377,32932,24644,62114
2012-03-20,Thu ba,Đắk Lắk,54,947,2235,5499,1852,4247,47105,82496,53910,70459,64399,37394,94411,11384,00538,68165,46337,03859
2012-03-20,Thu ba,Quảng Nam,52,196,0887,8641,0492,4695,74254,74841,33340,35359,10049,73159,79360,88535,12938,86507,43746,80964
2012-03-21,Thu tu,Đà Nẵng,37,611,1430,4896,8682,4620,75728,41722,61942,44752,48972,82322,40195,11664,11268,40852,43342,11210
2012-03-21,Thu tu,Khánh Hòa,67,366,1852,8053,6298,3738,15057,35185,70349,63151,50363,90476,11320,30307,68337,74892,59572,27507
2012-03-22,Thu nam,Bình Định,70,163,7267,2585,4472,8342,77959,85149,80244,73726,84794,92458,63121,26088,25427,82061,12433,73538
2012-03-22,Thu nam,Quảng Trị,86,506,2113,2908,1428,2143,04026,17982,42226,71027,25117,89345,10775,98520,92318,77491,84688,17733
2012-03-22,Thu nam,Quảng Bình,53,499,1593,0959,7891,2002,88338,33863,22612,41831,00625,42027,11287,66123,84339,69257,79897,36082
2012-03-23,Thu sau,Ninh Thuận,31,031,3932,1627,4313,6431,91640,00845,20434,09768,76058,40195,54549,66975,20948,59732,44492,16246
2012-03-23,Thu sau,Gia Lai,63,397,2494,5172,8448,3625,23587,67550,93240,99807,65983,56718,46323,59082,16251,59024,10104,65273
2012-03-24,Thu bay,Đà Nẵng,98,182,9557,0931,1883,9220,41669,71307,54678,53046,76474,94992,23666,07263,60776,06555,37251,95131
2012-03-24,Thu bay,Quảng Ngãi,22,570,3741,3011,4759,3173,83557,82622,27000,64673,06059,39551,98543,50589,64460,88336,19621,06924
2012-03-24,Thu bay,Đắk Nông,05,249,6473,6963,6839,4526,59394,13935,25747,50348,31900,24641,13412,26857,72236,81625,26896,79259
2012-03-25,Chu nhat,Khánh Hòa,38,740,9831,8543,9277,0307,75471,94733,92918,39429,70537,32786,28724,99838,05973,03098,49810,55345
2012-03-25,Chu nhat,Kon Tum,02,406,1689,7116,4485,4894,11038,25659,81254,41090,66746,07198,26773,72305,06358,71033,14818,61560
2012-03-26,Thu hai,Phú Yên,87,117,5527,9809,6716,3522,03588,97561,11856,73936,67719,50150,71077,37084,06133,15674,68572,99876
2012-03-26,Thu hai,Thừa T. Huế,87,320,8125,2759,2448,5650,90153,24649,31499,04562,94504,12367,12436,22497,75478,47629,81029,97831
2012-03-27,Thu ba,Đắk Lắk,22,748,6225,3310,4071,6846,95456,50790,34951,45805,66230,89798,99321,76443,14662,47730,69806,19246
2012-03-27,Thu ba,Quảng Nam,49,584,1459,5103,8285,5251,83213,98397,91488,28967,40447,69636,43811,00121,18893,88232,73601,06004
2012-03-28,Thu tu,Đà Nẵng,12,723,1141,6041,4267,0216,44115,19237,85629,51544,23992,49399,42506,11953,78056,95945,05901,46851
2012-03-28,Thu tu,Khánh Hòa,46,320,9219,1954,8940,8422,52803,44410,87873,54175,13879,78117,59600,77400,07449,99591,09075,50052
2012-03-29,Thu nam,Quảng Bình,17,347,5321,7196,8649,9048,99201,30372,40876,25333,28899,06819,15752,07534,18238,13741,76548,69284
2012-03-29,Thu nam,Quảng Trị,95,480,4683,4721,9917,0353,71530,83084,58494,85007,79020,75086,31776,73616,86006,64383,29023,53094
2012-03-29,Thu nam,Bình Định,60,778,5504,9516,4947,0145,37847,59068,46639,35862,09323,45767,11101,08239,00453,37996,34062,00347
2012-03-30,Thu sau,Ninh Thuận,33,743,7992,4586,5831,4738,50198,05178,71173,29528,82266,82767,92919,26230,18271,24687,13167,21251
2012-03-30,Thu sau,Gia Lai,55,429,6371,7497,5751,3061,33926,98998,49771,96768,62448,51619,90231,38074,89858,97787,08095,82763
2012-03-31,Thu bay,Quảng Ngãi,37,051,2008,8515,0330,6228,29834,04992,38723,37459,91421,78446,60258,23433,14069,78641,11460,78984
2012-03-31,Thu bay,Đắk Nông,04,694,4002,9482,1013,3020,49924,12128,31076,11053,01465,87199,68516,52952,20336,19651,48237,54569
2012-03-31,Thu bay,Đà Nẵng,05,897,4261,5605,4806,6634,60997,86937,32243,25042,68520,47511,26082,07784,68317,68766,54314,87323
2012-04-01,Chu nhat,Kon Tum,76,038,4339,0782,8111,0684,39626,84868,60246,71526,63112,89422,19263,58384,04176,30782,73913,72288
2012-04-01,Chu nhat,Khánh Hòa,75,471,7849,1235,7196,4188,12646,52256,08901,55137,54929,78564,84603,65765,58959,51594,44541,48328
2012-04-02,Thu hai,Thừa T. Huế,33,177,2816,9499,0263,7186,25759,59588,74141,12716,66611,04129,51697,02142,41223,26805,19512,27101
2012-04-02,Thu hai,Phú Yên,60,076,8832,1992,4917,5751,92339,30548,06810,65456,79964,04083,62302,56982,89417,99449,52726,92681
2012-04-03,Thu ba,Đắk Lắk,73,530,3046,1310,4517,1825,00120,13515,96556,72411,53387,54779,63911,98992,12641,20180,89375,47931
2012-04-03,Thu ba,Quảng Nam,75,132,5997,3374,9884,1080,90034,45318,73018,59678,93619,45540,81952,04736,47893,93333,17390,81413
2012-04-04,Thu tu,Đà Nẵng,87,975,9361,0888,6655,7214,12400,24418,21689,19472,83046,44522,18226,78983,27818,60838,01236,01542
2012-04-04,Thu tu,Khánh Hòa,05,554,7325,2343,2535,3012,59282,32505,57235,76890,86198,66458,36673,25714,96385,03605,29667,98938
2012-04-05,Thu nam,Quảng Trị,68,164,4762,7991,2066,3789,13525,95027,31971,39486,49378,66821,62847,28989,84621,02715,15731,46974
2012-04-05,Thu nam,Bình Định,11,286,1425,3253,6361,3662,43406,75324,88164,43163,57712,61636,44058,60925,00396,30162,75690,05832
2012-04-05,Thu nam,Quảng Bình,79,835,8687,4169,3848,3876,65726,12880,54258,32771,89917,66947,40010,47587,98572,86727,34538,35513
2012-04-06,Thu sau,Ninh Thuận,20,483,3282,1544,4414,1293,79369,05027,60275,10979,43407,89528,13007,65303,42782,60012,71334,28931
2012-04-06,Thu sau,Gia Lai,03,864,1055,8501,2052,9887,02109,77526,71389,57047,87342,18381,47101,94243,20921,39462,73908,03624
2012-04-07,Thu bay,Đà Nẵng,31,017,4079,9917,8918,4196,69567,10251,76684,80470,34645,87272,14757,44909,07730,54717,50631,46407
2012-04-07,Thu bay,Quảng Ngãi,18,760,9546,1038,0794,5805,71207,16838,55334,03240,44901,93087,55806,55944,68733,51164,27452,86649
2012-04-07,Thu bay,Đắk Nông,85,759,0883,2604,2655,9879,05943,46376,39262,60705,83084,82127,11023,98064,10351,42222,56158,66364
2012-04-08,Chu nhat,Kon Tum,36,350,2975,8669,8617,1353,22761,65195,75952,24198,71718,02364,79753,04187,37464,82009,29647,71564
2012-04-08,Chu nhat,Khánh Hòa,77,852,3296,5318,6426,1439,32307,93857,92663,59220,37101,46751,68574,80047,81837,68748,42452,81270
2012-04-10,Thu ba,Đắk Lắk,21,201,2617,1094,9418,1251,59928,13204,03061,64958,42959,62691,01289,87178,69489,81853,27260,50301
2012-04-10,Thu ba,Quảng Nam,77,014,5834,4984,8113,4488,65302,17811,75176,79234,09425,63497,59808,33599,92246,54680,18639,28270
2012-04-11,Thu tu,Khánh Hòa,86,612,6079,2516,1496,9199,10156,10403,16957,92847,27861,25857,71525,27793,47388,01724,80455,27571
2012-04-11,Thu tu,Đà Nẵng,06,287,3324,1048,8872,7349,62203,61207,72347,03789,74930,88316,10688,22788,90440,59878,29402,94043
2012-04-12,Thu nam,Quảng Bình,33,055,2384,8067,9306,2221,55570,82842,96301,17186,49609,23454,22061,13438,16979,49026,43333,23547
2012-04-12,Thu nam,Quảng Trị,96,845,9662,8074,8823,6723,32688,48003,11167,59235,49600,97169,85941,63165,96422,23065,22849,64257
2012-04-12,Thu nam,Bình Định,48,166,4849,1115,4298,2899,69958,58348,16387,89221,43947,16468,81349,56412,43089,55206,89649,07980
2012-04-13,Thu sau,Gia Lai,48,653,6118,5703,2804,2651,24967,91420,55625,38655,67665,54877,75097,36211,54492,13251,40614,34974
2012-04-13,Thu sau,Ninh Thuận,99,903,5826,3194,5256,6173,31445,16744,08246,58113,92355,06733,29579,73045,47206,15322,89786,40916
2012-04-14,Thu bay,Đà Nẵng,29,133,2687,9218,0530,8599,67022,46215,58533,67467,09757,57949,35708,01019,17749,81768,30640,55993
2012-04-14,Thu bay,Quảng Ngãi,80,436,8819,4392,1427,7964,80667,39573,75764,89094,40327,99052,63644,98109,23945,21844,63524,67565
2012-04-14,Thu bay,Đắk Nông,12,996,4076,4105,9121,1280,49733,92425,26940,97949,33652,11494,00189,50760,11378,50089,61357,12867
2012-04-15,Chu nhat,Khánh Hòa,21,174,4345,4787,0105,8892,25045,62443,70164,46640,71575,27356,75893,42177,41978,24265,45809,05754
2012-04-15,Chu nhat,Kon Tum,04,785,5657,3837,4464,7394,29401,22964,63901,32264,33662,81802,26318,44513,09576,14144,22744,98834
2012-04-16,Thu hai,Phú Yên,64,478,6206,9739,1528,3950,43607,63356,59162,53783,02768,81905,49901,75805,78965,71655,00521,69501
2012-04-16,Thu hai,Thừa T. Huế,18,605,2351,7215,8556,2727,66148,66769,92576,68798,94222,99301,37271,90407,76822,63411,87321,56384
2012-04-17,Thu ba,Đắk Lắk,26,625,4081,0558,9028,1545,50739,96125,27213,67855,33644,41998,90347,41044,89998,87726,11756,18645
2012-04-17,Thu ba,Quảng Nam,32,223,2447,1928,8669,7587,43697,06819,57943,40040,71584,64485,51913,22143,17083,89695,08024,39685
2012-04-18,Thu tu,Đà Nẵng,10,894,7796,0194,3806,5812,58960,75894,06349,90733,33056,88208,59132,79594,76299,42817,81170,61970
2012-04-18,Thu tu,Khánh Hòa,78,156,4102,1091,3772,3004,63473,81928,70447,54733,96926,72681,66991,17523,78099,82110,71523,73932
2012-04-19,Thu nam,Quảng Bình,94,702,5347,2451,3022,6549,27266,57500,37742,40024,71481,80574,09472,14448,62091,09315,22677,07909
2012-04-19,Thu nam,Bình Định,70,078,2253,5913,8248,4094,11081,74015,30718,29100,27267,83967,20420,95867,61530,45772,45198,22138
2012-04-19,Thu nam,Quảng Trị,35,671,8147,6331,3937,0147,77912,35190,92030,03650,60871,01710,47107,08832,60155,36347,96785,07265
2012-04-20,Thu sau,Ninh Thuận,78,304,9369,3030,5498,8401,69892,03436,01303,52175,53751,11120,50370,55633,65868,01515,65558,98092
2012-04-20,Thu sau,Gia Lai,46,928,8621,7848,8070,0255,18036,63605,45905,70732,36962,44123,97649,29139,99801,79852,11633,00267
2012-04-21,Thu bay,Đà Nẵng,70,208,0880,9438,1015,4260,74343,51218,38501,31211,97636,19096,96082,39253,25620,06836,92417,44945
2012-04-21,Thu bay,Quảng Ngãi,42,358,8887,5147,8277,5379,20863,69032,43787,52637,54443,18581,07405,69260,60785,33144,85085,72515
2012-04-21,Thu bay,Đắk Nông,26,819,7071,0129,7662,1731,16786,50322,98854,55819,77171,09152,37428,09500,61696,82004,81728,65103
2012-04-22,Chu nhat,Khánh Hòa,33,111,9854,2846,0487,1059,45824,86146,27494,60307,98185,97306,28446,54631,53215,15092,37514,65487
2012-04-22,Chu nhat,Kon Tum,79,170,0401,1987,4843,8032,07528,13522,65522,86070,24811,23478,67755,19475,95447,66667,76037,17006
2012-04-23,Thu hai,Thừa T. Huế,52,355,4594,5119,7758,0612,74781,23309,19908,39532,88329,30175,27467,12892,48104,94906,61090,43212
2012-04-23,Thu hai,Phú Yên,29,529,4692,7414,0241,0548,09783,03116,07023,50622,92335,55063,83251,59337,18453,67999,78838,66863
2012-04-24,Thu ba,Quảng Nam,80,785,9132,5403,0019,1919,00424,65564,22451,40735,20009,75767,36969,83734,74189,79097,36472,23960
2012-04-24,Thu ba,Đắk Lắk,33,550,9166,3304,5635,5828,92243,34775,08469,78249,68847,13747,83430,90133,51488,39632,99117,68235
2012-04-25,Thu tu,Đà Nẵng,70,376,5360,6623,0058,9405,86001,55598,15748,33153,95354,02698,86669,78254,34606,28335,34260,01490
2012-04-25,Thu tu,Khánh Hòa,55,481,3665,8555,3603,0140,53211,38929,61152,06891,48786,58413,65232,53082,23541,58599,56225,89176
2012-04-26,Thu nam,Bình Định,04,005,5625,4046,8806,5072,41790,76926,41552,49898,45251,83283,59922,20497,95885,00320,05048,90721
2012-04-26,Thu nam,Quảng Trị,79,107,5521,8115,6349,1767,28468,61792,79320,22342,07948,27894,88158,63790,87521,66007,10077,85708
2012-04-26,Thu nam,Quảng Bình,59,545,1651,4836,1644,5159,71084,33337,32767,99451,37692,11541,26208,28212,77226,86887,64084,34663
2012-04-27,Thu sau,Gia Lai,04,286,6305,8048,0821,2209,57985,41938,43226,63116,92865,40844,10011,11648,68445,39830,50315,03885
2012-04-27,Thu sau,Ninh Thuận,97,109,4728,0124,1233,3164,69031,46740,65209,48818,70396,16454,50799,38848,86051,52653,65995,30205
2012-04-28,Thu bay,Đắk Nông,36,144,9420,0491,7017,3319,85748,51280,11240,06071,00260,03538,81747,05326,00361,79067,00869,34625
2012-04-28,Thu bay,Đà Nẵng,54,003,9373,9390,0041,9853,30061,81607,79129,80354,49750,03952,51333,88808,46756,29180,62123,90604
2012-04-28,Thu bay,Quảng Ngãi,43,769,8830,7221,6723,6011,01153,91766,35525,03790,69166,64116,18425,63054,43278,49003,49054,78961
2012-04-29,Chu nhat,Kon Tum,50,609,5881,2590,8370,8467,22557,53355,73520,48026,04100,32361,63092,09602,82187,36291,23053,28139
2012-04-29,Chu nhat,Khánh Hòa,25,922,3018,8421,9266,7094,91275,51111,49503,38775,25474,23603,39653,83842,66696,40712,90178,46673
2012-04-30,Thu hai,Thừa T. Huế,99,240,4620,4316,5157,0304,49482,65633,23156,96915,80178,27546,95611,26995,45520,35155,69630,01148
2012-04-30,Thu hai,Phú Yên,43,616,0609,3060,0151,6185,51596,19907,47754,79491,85045,25948,53730,42439,72663,31158,12020,85968
2012-05-01,Thu ba,Đắk Lắk,68,043,0015,4278,9254,6168,70244,12037,95507,06795,32057,52243,67363,22988,17020,83099,14307,84719
2012-05-01,Thu ba,Quảng Nam,23,411,4988,6294,0087,6411,19719,88928,93264,26428,96407,62287,51363,19413,27579,17848,71221,26198
2012-05-02,Thu tu,Đà Nẵng,50,463,2566,2255,7805,9877,95427,87386,35484,71971,87849,47099,54444,18400,11076,38168,34564,49460
2012-05-02,Thu tu,Khánh Hòa,82,548,2244,3566,3414,3453,91598,48879,73319,87407,24878,34259,49691,74764,38206,99204,64047,79984
2012-05-03,Thu nam,Bình Định,19,091,3789,2083,7906,4944,55710,01988,84869,78811,84015,22941,62621,53116,94306,15710,29770,21884
2012-05-03,Thu nam,Quảng Trị,07,596,6638,5800,7583,5656,50200,93110,47617,07096,51434,84671,94399,48046,72520,21280,44160,51604
2012-05-03,Thu nam,Quảng Bình,16,466,0597,8724,5910,1409,44241,01308,91904,41927,38953,90508,90608,19770,46759,57204,26764,31572
2012-05-04,Thu sau,Ninh Thuận,51,904,0052,1141,7401,9632,98147,59954,56721,87900,71160,51767,39140,29596,95692,81585,01421,55412
2012-05-04,Thu sau,Gia Lai,40,316,4575,5894,2077,2644,02073,29770,64222,28305,63313,78092,94540,79599,90402,59792,15583,01076
2012-05-05,Thu bay,Đà Nẵng,80,571,6150,9209,3583,6261,81822,63973,60636,83731,48619,82562,48182,02330,26060,17421,93038,60923
2012-05-05,Thu bay,Quảng Ngãi,44,913,6287,8645,7572,3513,25252,01168,39233,68890,05361,15466,50589,05114,96131,75920,36972,65290
2012-05-05,Thu bay,Đắk Nông,81,848,5574,1886,7608,0830,86554,53976,03373,64828,44847,34983,60621,67654,81151,32380,68038,24495
2012-05-06,Chu nhat,Kon Tum,36,566,9840,1604,5070,0247,14612,18347,19786,44330,82465,07360,74436,67931,59225,92377,58149,04050
2012-05-06,Chu nhat,Khánh Hòa,53,388,8791,3453,5302,7567,64801,15776,35290,91042,85806,72658,71947,64464,33751,83703,43672,66702
2012-05-07,Thu hai,Phú Yên,35,361,5722,4841,4300,7281,56282,62926,18381,60025,60904,93981,08229,15683,52490,52948,01339,75365
2012-05-07,Thu hai,Thừa T. Huế,21,690,4785,3314,1726,9508,44548,22514,34879,41720,40379,08179,51897,71395,96674,62018,03602,92044
2012-05-08,Thu ba,Đắk Lắk,96,713,7704,8164,2229,5227,09807,00539,00718,81745,89742,94396,71345,05142,54758,35417,26779,75188
2012-05-08,Thu ba,Quảng Nam,85,922,8814,5864,1436,1408,87839,08750,87700,56357,77231,22027,84508,37262,72526,54712,27221,81724
2012-05-10,Thu nam,Bình Định,04,623,5155,3222,2947,0202,81153,06933,38002,98124,79424,66851,85750,59566,29061,75383,70514,66023
2012-05-10,Thu nam,Quảng Trị,59,832,9202,5913,3398,2816,72498,21959,17126,71261,25801,50256,95918,62243,41239,26628,14080,08569
2012-05-10,Thu nam,Quảng Bình,20,387,4651,8506,5883,7548,55177,54019,80329,26666,46592,56022,81988,17028,37232,69645,38054,17682
2012-05-11,Thu sau,Gia Lai,56,581,0392,9842,4928,7136,04644,15050,27929,79516,50021,48915,89351,86429,72277,28486,42901,28997
2012-05-11,Thu sau,Ninh Thuận,07,565,8456,8079,2753,0289,13703,48567,98100,35152,26408,61334,84269,23313,58292,53855,51464,24092
2012-05-12,Thu bay,Đà Nẵng,93,250,3531,4817,8429,9243,23367,82407,99852,78687,74178,78451,53559,08078,25136,64285,31972,33258
2012-05-12,Thu bay,Quảng Ngãi,55,240,6404,7739,3233,4910,43496,43726,44683,02105,12275,46691,49759,70864,49420,84770,07746,68399
2012-05-12,Thu bay,Đắk Nông,77,737,3848,9041,9171,9778,53676,99557,58313,76274,37076,82060,21111,43112,09905,89757,47743,91000
2012-05-13,Chu nhat,Khánh Hòa,38,584,1292,3864,2677,3516,82447,06477,97152,62728,11906,70532,16535,47761,66124,39580,00291,93783
2012-05-13,Chu nhat,Kon Tum,63,429,1542,5802,7980,9224,80612,78067,19430,46078,29388,95351,07221,45968,63157,83043,65775,16598
2012-05-14,Thu hai,Thừa T. Huế,36,695,2504,1079,3783,8586,62449,42613,19767,37326,92808,91310,78669,47286,21021,95288,01846,26360
2012-05-14,Thu hai,Phú Yên,83,918,1088,6623,2349,5009,35076,23964,36482,49989,82439,57951,14137,59001,46595,17969,30935,06875
2012-05-15,Thu ba,Đắk Lắk,62,177,0955,1856,8584,4159,77414,23892,60378,39442,05058,50045,03953,45218,46606,65347,15833,04174
2012-05-15,Thu ba,Quảng Nam,30,281,2973,9646,2385,9213,32876,58088,74706,42047,37418,77038,41677,13952,43049,19932,29849,25319
2012-05-16,Thu tu,Khánh Hòa,19,786,1128,0587,9215,5930,84934,04004,08931,05596,96268,59607,86117,29151,69027,87112,21660,43234
2012-05-16,Thu tu,Đà Nẵng,37,950,3440,0306,4364,4193,43987,82726,64457,58938,13267,48025,47525,31886,77894,77816,17035,89729
2012-05-17,Thu nam,Bình Định,42,672,0800,1955,9915,6970,70926,72489,87434,13150,87344,75927,24790,05088,21201,91319,40141,39128
2012-05-17,Thu nam,Quảng Trị,64,752,9287,2722,9352,2209,11571,80111,21897,45783,49273,75420,55107,36304,56861,49984,49888,01283
2012-05-17,Thu nam,Quảng Bình,08,557,7870,9908,9782,1113,98871,39027,33826,28471,95339,47309,51135,95611,13863,75318,75098,39821
2012-05-18,Thu sau,Gia Lai,30,248,3921,9186,2797,3821,28359,96848,06076,99994,16981,84941,01241,27378,25245,70883,20848,83233
2012-05-18,Thu sau,Ninh Thuận,85,480,1948,4216,1822,7418,84852,14881,09311,81692,80343,41476,06036,40021,09700,82937,18653,25012
2012-05-19,Thu bay,Đà Nẵng,91,817,5364,9346,8092,0634,76326,80231,55065,26741,54323,17203,55726,63269,93174,90255,57168,57672
2012-05-19,Thu bay,Quảng Ngãi,67,221,7736,9669,2113,4052,54495,82472,98764,06802,70131,59591,44909,65552,25887,79944,65683,04469
2012-05-19,Thu bay,Đắk Nông,69,589,0069,5854,4674,2473,67527,71963,95757,18707,24672,52894,92681,43790,37961,26171,20253,99214
2012-05-20,Chu nhat,Kon Tum,67,818,7862,0104,6164,2582,91444,26185,84451,97415,81897,69170,03196,86671,76040,09198,98982,98497
2012-05-20,Chu nhat,Khánh Hòa,54,557,8659,6635,3415,6315,86311,87022,95719,40222,46299,71094,54061,32286,25983,61279,76962,48645
2012-05-21,Thu hai,Phú Yên,50,007,7658,7584,0344,0070,74278,62820,46779,83239,12471,15359,75440,62292,15043,05509,68678,42335
2012-05-21,Thu hai,Thừa T. Huế,63,632,9857,4765,9111,7705,30595,88422,19127,48124,93027,85028,02448,39599,46632,08172,92379,79580
2012-05-22,Thu ba,Quảng Nam,85,269,7010,9027,6901,5350,35399,35315,36031,53814,85860,47152,55052,84557,43663,58394,76375,18942
2012-05-22,Thu ba,Đắk Lắk,26,349,7116,5241,9794,0432,39535,70193,51546,29332,91509,32777,99256,73879,84000,98934,68005,80383
